Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2025-11-27,"""Strength training (weight lifting, weight training)""",Cardio,786.5,97,,,,,
2025-11-28,"""Stair-treadmill ergometer, general""",Cardio,153.0,11,,,,,
2025-11-28,"""Strength training (weight lifting, weight training)""",Cardio,589.9,69,,,,,
2025-11-29,"""Circuit training, general""",Cardio,862.1,70,,,,,
2025-11-29,"""Stair-treadmill ergometer, general""",Cardio,156.2,10,,,,,
2025-12-01,"""Walking, 2.0 mph, slow pace""",Cardio,269.0,56,,,,,
2025-12-01,Apple Health App Workout,Cardio,280.9,40,,,,,
2025-12-02,"""Strength training (weight lifting, weight training)""",Cardio,912.2,75,,,,,
2025-12-03,"""Strength training (weight lifting, weight training)""",Cardio,914.4,81,,,,,
2025-12-04,"""Strength training (weight lifting, weight training)""",Cardio,668.9,60,,,,,
2025-12-04,Apple Health App Workout,Cardio,72.5,8,,,,,
2025-12-05,"""Strength training (weight lifting, weight training)""",Cardio,440.0,45,,,,,
2025-12-06,"""Circuit training, general""",Cardio,714.8,65,,,,,
2025-12-07,Apple Health App Workout,Cardio,424.3,83,,,,,
2025-12-08,Apple Health App Workout,Cardio,439.4,79,,,,,
2025-12-09,"""Strength training (weight lifting, weight training)""",Cardio,626.2,59,,,,,
2025-12-09,Apple Health App Workout,Cardio,218.9,22,,,,,
2025-12-10,"""Strength training (weight lifting, weight training)""",Cardio,715.0,59,,,,,
2025-12-11,"""Strength training (weight lifting, weight training)""",Cardio,814.3,73,,,,,
2025-12-12,"""Circuit training, general""",Cardio,843.7,60,,,,,
2025-12-13,"""Circuit training, general""",Cardio,759.6,61,,,,,
2025-12-14,Apple Health App Workout,Cardio,420.5,53,,,,,
2025-12-15,Apple Health App Workout,Cardio,337.3,56,,,,,
2025-12-16,"""Strength training (weight lifting, weight training)""",Cardio,951.1,82,,,,,
2025-12-17,"""Strength training (weight lifting, weight training)""",Cardio,797.3,66,,,,,
