Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-11-27,Breakfast,4565.1,139.6,466.1,13.1,23.8,2.2,823.1,7965.6,2781.2,558.9,17.9,158.5,201.5,29.6,361.2,93.8,96.3,
2025-11-28,Breakfast,904.0,34.5,18.1,3.4,8.5,1.4,97.6,528.5,933.3,108.6,7.3,73.3,45.2,11.7,83.6,43.1,21.6,
2025-11-28,Dinner,1672.6,33.5,149.3,2.6,5.1,0.0,270.0,3609.8,3607.1,243.9,11.5,80.1,99.5,35.3,136.9,96.6,38.9,
2025-11-28,Lunch,2033.5,77.4,28.3,5.1,8.7,0.7,334.6,4928.3,3420.6,182.9,22.2,68.5,128.7,11.7,630.3,24.8,45.6,
2025-11-29,Breakfast,697.5,11.7,2.6,1.5,0.8,0.0,1.9,326.3,570.2,120.2,18.4,46.5,46.4,30.3,190.0,55.7,35.8,
2025-11-29,Dinner,2872.4,21.2,211.5,0.0,0.0,0.0,526.5,2740.7,2970.0,454.1,6.4,82.1,210.3,2.0,69.3,266.7,27.3,
2025-11-29,Lunch,669.1,19.0,7.3,0.2,1.4,0.2,230.7,1191.3,1082.6,71.1,40.0,5.3,87.7,0.0,0.0,7.0,11.2,
2025-11-30,Breakfast,776.6,7.3,2.5,0.0,0.0,0.0,106.7,651.6,609.9,113.7,1.3,16.7,63.7,0.7,6.7,64.3,8.0,
2025-11-30,Lunch,3022.7,67.5,12.4,0.1,1.0,0.2,473.8,2282.5,2518.4,363.7,12.0,50.2,237.8,2.0,20.0,194.3,24.0,
2025-12-01,Breakfast,417.5,6.7,1.1,1.5,0.8,0.0,1.9,151.3,340.2,59.2,5.4,21.5,36.4,0.3,100.0,30.7,25.8,
2025-12-01,Dinner,1671.5,63.0,18.8,5.0,24.0,0.0,247.0,3627.2,1596.2,185.7,37.8,21.3,110.4,21.7,45.3,47.3,56.1,
2025-12-01,Lunch,2230.0,80.0,18.0,3.0,6.0,0.0,380.0,1020.0,2630.0,139.0,20.0,44.0,249.0,0.0,15.0,157.5,22.9,
2025-12-02,Breakfast,1295.0,51.5,11.5,6.5,25.5,0.3,145.0,950.0,766.6,165.5,4.5,105.0,51.5,0.0,0.0,83.0,13.2,
2025-12-02,Dinner,62.4,0.2,0.0,0.0,0.0,0.0,0.0,5.7,195.0,15.1,1.9,11.6,0.8,0.0,49.3,1.7,1.1,
2025-12-02,Lunch,3462.7,114.5,438.9,14.1,35.0,0.2,641.8,2807.5,3648.4,408.7,41.0,58.2,234.8,0.0,0.0,162.3,42.3,
2025-12-03,Breakfast,960.0,30.0,11.5,3.0,8.0,0.0,145.0,925.0,370.0,130.0,2.0,80.0,52.0,0.0,0.0,82.0,5.0,
2025-12-03,Dinner,1331.2,65.1,13.0,12.0,32.0,0.0,160.0,1182.8,2817.5,67.5,9.0,45.8,130.4,0.0,24.7,190.9,16.2,
2025-12-03,Lunch,2547.4,46.2,426.5,2.0,2.0,0.0,503.0,1625.7,2955.0,377.1,10.9,82.6,157.3,0.0,49.3,171.7,25.5,
2025-12-04,Breakfast,1502.5,52.0,18.0,6.0,16.0,0.0,240.0,1691.4,2223.7,125.8,46.2,51.1,172.5,0.0,4.4,137.0,29.7,
2025-12-04,Dinner,590.0,16.0,2.5,3.0,8.0,0.0,0.0,135.0,620.0,76.0,5.0,28.0,14.0,0.0,0.0,2.0,4.8,
2025-12-04,Lunch,2471.3,44.6,26.0,0.0,0.0,0.0,410.0,1936.3,3660.0,373.0,32.3,86.1,166.5,0.0,32.6,229.6,25.7,
2025-12-05,Breakfast,960.0,20.0,13.0,0.0,0.0,0.0,240.0,700.0,1770.0,49.0,10.0,39.0,150.0,0.0,0.0,127.5,14.4,
2025-12-05,Dinner,1731.8,27.9,15.8,0.7,0.7,0.0,225.0,1014.3,1515.6,284.3,4.1,36.4,86.4,0.0,37.0,126.3,13.6,
2025-12-05,Lunch,1719.8,96.5,3.1,0.1,0.7,0.0,9.1,76.7,43.1,129.6,16.1,0.1,92.6,3.2,3.3,2.0,0.7,
2025-12-06,Breakfast,1090.0,32.5,13.0,3.0,8.0,0.0,215.0,1025.0,550.0,132.0,2.0,82.0,77.0,0.0,0.0,97.0,7.2,
2025-12-06,Dinner,1987.5,48.7,15.6,1.5,0.8,0.0,311.9,951.3,2290.2,162.2,20.4,62.5,231.4,0.3,100.0,173.2,42.4,
2025-12-06,Lunch,1557.5,70.2,27.1,1.5,0.8,0.0,141.9,4851.3,340.2,145.2,7.4,31.5,95.4,50.3,180.0,90.7,75.8,
2025-12-07,Breakfast,830.0,27.5,10.0,3.0,8.0,0.0,75.0,825.0,190.0,128.0,2.0,78.0,27.0,0.0,0.0,67.0,2.8,
2025-12-07,Dinner,860.0,16.3,10.5,0.0,0.0,0.0,196.3,425.0,1147.5,82.8,1.9,75.3,98.8,0.0,0.0,90.0,8.5,
2025-12-07,Lunch,2650.0,116.0,54.5,0.0,0.0,0.0,315.0,6850.0,490.0,237.0,7.0,52.0,131.0,4.0,50.0,119.0,63.7,
2025-12-08,Breakfast,1527.5,28.5,16.1,1.5,0.8,0.0,255.7,1226.3,1244.7,204.5,8.0,131.3,125.7,0.3,100.0,165.2,33.6,
2025-12-08,Dinner,1048.2,13.5,275.0,0.0,0.0,0.0,202.0,792.0,683.8,185.3,2.2,23.7,46.8,0.0,52.6,40.8,1.2,
2025-12-08,Lunch,1879.8,98.5,3.1,0.1,0.7,0.0,9.1,556.7,163.1,185.6,48.1,4.1,100.6,3.2,3.3,14.0,7.4,
2025-12-09,Breakfast,1898.3,28.6,147.7,3.0,1.5,0.0,304.8,1535.9,1150.3,300.5,11.1,128.3,125.5,0.5,199.9,156.3,55.9,
2025-12-09,Dinner,850.0,30.0,15.0,0.0,0.0,0.0,175.0,2700.0,650.0,85.0,10.0,10.0,60.0,40.0,50.0,0.0,30.0,
2025-12-09,Lunch,1885.0,12.0,8.0,0.0,0.0,0.0,80.0,400.0,1128.0,141.0,8.0,28.0,80.0,0.0,0.0,78.0,8.0,
2025-12-10,Breakfast,1981.7,25.7,280.2,3.0,1.5,0.0,255.8,1369.3,2028.3,298.5,19.5,83.7,152.1,0.5,199.9,139.3,59.5,
2025-12-10,Dinner,860.0,13.0,6.0,0.0,0.0,0.0,70.0,1142.5,855.0,129.5,7.0,56.5,30.0,16.0,20.0,0.0,14.0,
2025-12-10,Lunch,1719.8,96.5,3.1,0.1,0.7,0.0,9.1,76.7,43.1,129.6,16.1,0.1,92.6,3.2,3.3,2.0,0.7,
2025-12-11,Breakfast,2187.5,25.2,14.1,1.5,0.8,0.0,251.9,1361.3,2026.2,330.2,15.4,68.5,169.4,0.3,100.0,153.2,41.8,
2025-12-11,Dinner,890.0,36.8,7.8,3.0,20.0,0.0,25.0,1475.0,695.0,117.5,17.5,12.5,35.0,0.0,0.0,30.5,41.7,
2025-12-11,Lunch,1289.0,11.5,5.0,0.0,0.0,0.0,25.0,1835.0,790.0,197.9,41.5,15.5,44.4,0.0,0.0,44.0,46.7,
2025-12-11,Snacks,270.0,22.5,3.8,4.5,12.0,0.0,0.0,187.5,285.0,12.0,3.0,4.5,10.5,0.0,0.0,3.0,4.2,
2025-12-12,Breakfast,1547.5,44.2,22.6,1.5,0.8,0.0,151.9,2391.3,1140.2,233.2,7.4,123.5,65.4,0.3,100.0,105.3,45.8,
2025-12-12,Dinner,2000.0,23.0,14.5,0.0,0.0,0.0,245.0,1500.0,1740.0,303.0,11.0,54.0,150.0,0.0,0.0,132.5,26.7,
2025-12-12,Lunch,1193.7,29.0,11.9,0.1,1.0,0.2,213.8,1687.5,688.4,88.8,2.0,6.2,80.9,0.0,0.0,17.3,20.0,
2025-12-13,Breakfast,1037.5,37.2,18.6,2.5,0.8,0.0,101.9,1361.3,500.2,137.7,9.4,32.0,40.4,0.3,100.0,45.2,55.8,
2025-12-13,Dinner,2032.6,100.2,34.9,25.4,29.5,0.5,383.0,2499.5,1684.4,116.4,6.6,13.7,134.2,81.5,10.1,18.9,70.3,
2025-12-13,Lunch,1587.0,36.5,15.0,0.0,0.0,0.0,230.0,1100.0,758.0,210.7,3.5,101.0,92.7,0.0,0.0,113.6,13.5,
